step,jacobian_change_from_h1e-4,official_jacobian_relative_difference,taylor_residual,taylor_residual_over_t
0.01,1.1783052547440639e-05,0.0012440623119102858,1.579467059620077e-05,0.0015794670596200769
0.003,3.5460962056349845e-06,0.001242270836860662,1.425212885955682e-06,0.00047507096198522733
0.001,3.4571316160053637e-06,0.0012420950968340836,1.5879586712537078e-07,0.0001587958671253708
0.0003,3.527323173781951e-06,0.0012420670404656973,1.4462672949283939e-08,4.820890983094647e-05
0.0001,0.0,0.0012421247883707427,1.799238646454787e-09,1.799238646454787e-05
3e-05,1.1536025908198487e-05,0.001242097379072333,5.466413746412188e-10,1.8221379154707292e-05
1e-05,2.996885943881029e-05,0.0012442769062549854,5.572665285478038e-10,5.5726652854780376e-05
1e-06,0.00028257147367719796,0.001238479006413329,5.055916792782978e-10,0.0005055916792782978
