cloud,attempt,accepted,reason,iterations,predictor_residual,final_residual,predictor_distance,corrector_distance
rank2_best,1,1,converged,2,0.00013884316698370235,2.0507930815883222e-10,0.00987244706509012,6.475144978227444e-05
rank2_best,2,1,converged,2,0.0003640418553064612,1.3745561124138161e-09,0.01199659156800428,0.00018021410905625924
rank2_best,3,1,converged,3,0.00031878852418036374,3.4222440610090007e-10,0.011322649321759507,0.00015335537629454477
rank2_best,4,1,converged,2,3.507993556025901e-05,9.704138658441803e-10,0.008832600400719082,1.71330550961618e-05
rank2_best,5,1,converged,2,3.350621881503948e-05,5.247122730773519e-09,0.0075830804303410725,1.516016044334392e-05
rank2_best,6,1,converged,1,0.00012125065192035305,1.897786686447987e-08,0.00840801948733679,6.132949123228726e-05
rank2_best,7,1,converged,2,0.0002564130491141432,6.5270098231447924e-09,0.009347217756091385,0.00012640374244371418
rank2_best,8,1,converged,3,0.00026333586256538274,7.62494220943302e-10,0.011780377960898836,0.00012122007263916502
rank2_best,9,1,converged,2,2.3393744230733313e-05,8.766501107392025e-11,0.008752623156187272,1.1573231616769207e-05
rank2_best,10,1,converged,2,0.00022643291112369663,2.955372885808814e-09,0.010622399536321372,0.00010753863780312448
rank2_best,11,1,converged,2,0.00024111228390599605,1.0653046430443004e-08,0.011113214675986733,0.00012245420755879904
rank2_best,12,1,converged,2,0.00020097660629686756,2.4043204479530493e-09,0.011997302758873715,0.00010197550858210113
rank2_best,13,1,converged,2,9.54315045614627e-05,1.4157412030872627e-09,0.011953197395193238,4.3112058194683444e-05
rank2_best,14,1,converged,3,0.0004267444208334765,7.4385820279014104e-09,0.01109520841233767,0.0002249569987087466
rank2_best,15,1,converged,2,0.0001494703204833807,1.8789863592176437e-08,0.01105878884236359,6.745080938742903e-05
rank2_best,16,1,converged,2,0.00024171806570691688,7.742331950022342e-09,0.009760079375961754,0.00012255166026312565
rank2_best,17,1,converged,2,0.00025090142048076993,3.0592942348926614e-09,0.00909549596465208,0.00012729095599528278
rank2_best,18,1,converged,3,0.00010265399127104002,3.240190669185353e-10,0.011161088219035513,4.7170095520175046e-05
rank2_best,19,1,converged,2,0.0001319991664017185,4.5903875444156395e-09,0.011129396243903425,6.0743073469448926e-05
rank2_best,20,1,converged,2,9.396476180930306e-05,3.733423922677236e-09,0.008468132500868582,4.272844759136953e-05
rank2_best,21,1,converged,3,0.00011823762772249219,1.3614185766513391e-09,0.011936192515335415,6.0731550022160526e-05
rank2_best,22,1,converged,2,4.913103626355784e-05,2.7252722342186686e-10,0.0045146362997160175,2.4728023794095195e-05
rank2_best,23,1,converged,2,5.358043817633152e-05,3.2414067224109875e-10,0.009842435985308604,2.463142798116749e-05
rank2_best,24,1,converged,2,0.00016733109740039054,7.963612004586146e-09,0.011706062728011626,7.550851456862868e-05
rank2_best,25,1,converged,1,2.804056922551153e-06,1.0213116144978349e-08,0.009803035015374155,1.51690525718809e-06
rank2_best,26,1,converged,2,0.00017202736666482575,3.7326410836144286e-10,0.009312390260493042,8.71179215476106e-05
rank2_best,27,1,converged,2,0.00019603683745159718,2.5403872414360714e-09,0.011220901407405587,9.780590313854926e-05
rank2_best,28,1,converged,2,0.00016358035366650364,5.1030755638355945e-09,0.010496562374734229,8.139687018946586e-05
