population_seed,sample_index,split,numerical_rank,relative_sigma_8,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8
20260828,0,train,8,0.12369101499003943,27.98948712474915,19.56648702594725,17.45448662902445,14.676430418866612,13.478445504083375,7.991942703263381,6.42156497599968,3.462048071510863
20260828,1,train,8,0.10529948319676984,19.120395964458815,14.161194026165504,11.309862115717888,10.410960988463712,8.797141290179454,4.631372097781935,3.8247390772186374,2.0133678135751167
20260828,2,train,8,0.08706613129418933,22.04441477760279,19.28722695734575,13.084726441142788,10.462354466784287,8.949752423980717,6.345347148521093,3.6710835902990056,1.919321911330332
20260828,3,train,8,0.10143136810401433,21.502818242133106,16.027134976903703,15.275564376205905,13.800666612162729,9.317322342714196,5.888165558919053,4.011587599000903,2.1810602723915173
20260828,4,train,8,0.12177615003324053,19.214503131700603,15.033988988563628,12.95761152292811,10.635833680323794,9.241672800883752,5.546814208815437,4.399059970057666,2.3398682161801427
20260828,5,train,8,0.04705098422473291,16.334964504085594,12.065388778250096,10.78819504559048,8.177824257298381,5.119849553523809,2.871297937076876,2.0405258437423335,0.7685761571933033
20260828,6,train,8,0.07359194578203575,15.083390306349576,9.459785413616897,9.048785520599473,7.622635422822662,5.796277568945846,2.71673491187385,2.3896406689010177,1.1100160416341616
20260828,7,train,8,0.0782612992637658,19.306812565329835,14.604836994154235,13.115513001197467,12.348368204421224,9.134275253472282,5.3548703748129185,3.686185141720685,1.510976236004712
20260828,8,train,8,0.05661385143365776,15.414420754726084,10.599227020254144,8.527746372773922,6.648636735793598,5.879389622501532,2.962876992688304,2.3534788170991323,0.8726697265439533
20260828,9,train,8,0.048868181520047606,15.457842579805963,10.099276950298366,9.13032834208986,8.008021019985007,6.7534362195748185,3.4428405707295946,2.2460832641691115,0.7553966570982787
20260828,10,train,8,0.15147573556194846,21.138472603922445,16.554316096973146,15.5356136212927,13.513510982705862,10.803878991006789,6.77449986676588,5.5966996034950345,3.201965686335248
20260828,11,train,8,0.1351112718465099,21.882006886172462,17.08777736652066,16.399313092765347,14.47043506208699,11.856271608851912,8.05917127658616,5.375435573098929,2.956505780944849
20260828,12,train,8,0.10597144806279937,19.60095665932531,14.35493205782935,12.496931601073374,10.841027135783687,10.16313682695516,5.377368484918217,3.877933904161721,2.0771417606048734
20260828,13,train,8,0.09863722794829795,17.535260410941163,11.91641604544089,10.964573316217793,9.013425513621165,8.3685393832855,4.570783247857002,2.897326977784559,1.7296294782867683
20260828,14,train,8,0.06222223213073528,15.760930836460727,9.93871027495939,9.522138905794929,7.850360370666803,6.499102761656226,3.341041070659441,2.068159496043449,0.9806802971027231
20260828,15,train,8,0.0751148416725935,18.57934682135093,12.89068974503849,11.572734827582762,8.737154710134796,7.13181012889425,3.5779758932690457,2.7672170576426574,1.3955846948659785
20260828,16,train,8,0.11472655541463944,23.80103510002558,17.911645541697343,17.573126720849125,14.348564268206113,12.624373604529374,8.686121493137245,5.970429549769065,2.730610772328863
20260828,17,train,8,0.07682323971084656,19.037217656976644,13.50296553693726,11.450442994940154,10.92461612548387,8.563806565654227,6.012029425193439,2.2889820528788043,1.4625007354894775
20260828,18,train,8,0.055315762629088126,17.316971669383186,13.243431263711676,9.303677028302735,7.280417255656511,6.888238389656057,3.888967300294183,1.8395249417512463,0.9579014943182442
20260828,19,train,8,0.09211894945390439,19.003542677748307,14.259546768569146,10.832055977702845,10.084641192044598,8.130085256350698,4.085268123287287,3.5501908691904998,1.7505863873766112
20260828,20,train,8,0.09082365915338338,20.801376197987512,14.167959521114513,13.506242013124865,10.351898633058447,9.376316731444073,4.813707667808475,3.130169538532869,1.8892571017273196
20260828,21,train,8,0.09724224562313967,16.81256999090435,12.139006019969715,10.820993619504025,10.705048317381399,4.483134994259254,2.928227249137917,2.450717100846416,1.6348920606117479
20260828,22,train,8,0.0471512403172084,16.03653858525863,10.328180591514672,9.906785368733344,7.157467065207573,5.823611103956449,2.841501987784891,2.0335827681800516,0.7561426846897149
20260828,23,train,8,0.11228612816664624,24.173698515495342,18.647712578201133,15.172020317966115,13.009320210096565,11.68118861318838,7.0906591210134176,5.591538900208822,2.714371009772776
20260828,24,train,8,0.08752104088306242,18.15373494709183,13.923866180128531,11.745526002852456,9.142455452606374,7.697070391746697,3.5949838848426143,2.498116815698142,1.588833778484703
20260828,25,train,8,0.11414748619592203,20.01409608407135,14.772163712376857,13.458867121710588,11.879999490028833,10.755080702226971,5.172533006837944,4.9317957380201936,2.2845587564803918
20260828,26,train,8,0.08948576051919757,19.888708006836332,14.686681907775965,13.228555572375162,10.501567370020526,9.926585458810775,5.611714776955047,4.61197377065092,1.7797561617360032
20260828,27,train,8,0.03860485915893497,14.743556541892548,9.544121357849992,8.065047929771673,6.634278710815541,3.438213907476195,1.8889445494662545,1.5698227107988336,0.5691729238015562
20260828,28,train,8,0.09356529616610333,19.67051592605398,14.501685604656096,13.118331228694078,11.243402124826146,8.719060112099957,4.879345023106609,3.5112596385203387,1.840477648361293
20260828,29,train,8,0.0871952873672616,20.79809885812449,16.091555036540267,13.981441712593536,11.273488493090463,10.001702166277118,5.314371004181048,3.8003486685752836,1.8134962066268803
